function_name,MongoDB_time,MONGO_JSON_time,REDIS_JSON_time,Difference_MONGO_JSON,Difference_REDIS_JSON,Percentage_Diff_MONGO_JSON,Percentage_Diff_REDIS_JSON
get_flights_by_pilot,0.001110,0.000065,0.000002,-0.001046,-0.001109,-94.17%,-99.84%
get_reservations_by_client,0.001186,0.000015,0.000003,-0.001171,-0.001183,-98.75%,-99.74%
get_clients_by_flight,0.000767,0.000010,0.000003,-0.000757,-0.000764,-98.68%,-99.66%
get_vols_by_departure_city,0.001531,0.000080,0.000003,-0.001451,-0.001529,-94.76%,-99.81%
load_data_from_mongo,N/A,0.003973,N/A,N/A,N/A,N/A,N/A
get_clients_by_pilot,0.005947,0.000136,0.000021,-0.005811,-0.005927,-97.71%,-99.65%
load_data_from_redis,N/A,N/A,0.000578,N/A,N/A,N/A,N/A
get_arrival_cities,0.000921,0.000015,0.000002,-0.000906,-0.000919,-98.38%,-99.81%
get_pilotes,0.000541,0.000103,0.000005,-0.000437,-0.000535,-80.88%,-99.01%
get_arrival_city_by_id,0.000541,0.000034,0.000002,-0.000508,-0.000540,-93.73%,-99.64%
Total,0.012545,0.004432,0.000618,-0.008113,-0.011927,-64.67%,-95.08%
